power,100BCBD,16825533
menu,1004A4B,16796235
tv/video,100A0A1,16818337
exit,19059C8,26237384
return,1002B2A,16788266
sub-menu,190E574,26273140
up,1005253,16798291
down,100D2D3,16831187
left,1007273,16806515
right,100F2F3,16839411
ok,1009293,16814739
r,1000E0F,16780815
g,1008E8F,16813711
b,100CECF,16830159
y,1004E4F,16797263
ch+,1002C2D,16788525
ch-,100ACAD,16821421
vol+,1000405,16778245
vol-,1008485,16811141
aspect,1207B5A,18905946
favorite,19075E4,26244580
recall,1009C9D,16817309
mute,1004C4D,16796749
1,1000809,16779273
2,1008889,16812169
3,1004849,16795721
4,100C8C9,16828617
5,1002829,16787497
6,100A8A9,16820393
7,1006869,16803945
8,100E8E9,16836841
9,1001819,16783385
0,1009899,16816281
r-tune,100ECED,16837869
prog-,1900B9A,26217370
